Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Leaf,Flower,Ripen,Reproduction,Soils,pH,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses
Plantaginaceae,Plantago,maritima,"Sea Plantain, Goose tongue, California goose tongue",,"[5, 6, 7, 8, 9]",0.2,0.2,PERENNIAL,,June to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],"Short turf in salt marshes near the sea and by streams in mountains, usually in saline or wet soils[17].","Western Europe, including Britain, from Scandanavia south and east to Spain, Hungary and Russia.",(3 of 5),(2 of 5),(2 of 5)
Verbenaceae,Aloysia,citriodora,"Lemon Verbena, Lemon beebrush",medium,[],3,3,deciduous,May to November,August,September to October,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Fields and roadsides[238]. Open scrub[260].,"S. America - Argentina, Chile, Peru, Uruguay. Locally naturalized in the Mediterranean[50].",(4 of 5),(3 of 5),(3 of 5)
Verbenaceae,Verbena,officinalis,"Vervain, Herb of the cross, Prostrate verbena",,"[4, 5, 6, 7, 8]",0.6,0.5,PERENNIAL,April to October,July to September,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Waste ground and roadsides, avoiding acid soils and shady positions[4, 7, 17].","Europe, including Britain, from Denmark south and east to N. Africa, W. Asia to the Himalayas.",(1 of 5),(3 of 5),(0 of 5)
Convolvulaceae,Ipomoea,batatas,"Sweet Potato, Black Sweet Potato, Sweet Potato Vine",fast,"[1, 2]",to,,PERENNIAL,,,,hermaphrodite,"['light', 'medium']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],[],"Derived in cultivation, probably from Ipomoea trifida, this species is not known in a truly wild situation.",Pantropical.,(5 of 5),(0 of 5),(3 of 5)
Convolvulaceae,Ipomoea,pandurata,"Wild Potato Vine, Man of the earth",fast,"[6, 7, 8, 9]",to,,PERENNIAL,,June to August.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Fields, hedgerows and roadsides in dry open or partially shaded areas[43, 62].","Eastern N. America - Connecticut to Florida, west to Texas, Kansas and Michigan.",(3 of 5),(2 of 5),(2 of 5)
Solanaceae,Nicotiana,alata,"Tobacco, Jasmine tobacco, Nicotiana, Jasmine Tobacco, Ornamental Tobacco, Flowering  Tobacco",slow,"[6, 7, 8, 9]",0.6,0.3,PERENNIAL,,July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known,S. America - S. Brazil to N. Argentina. Locally naturalized in C. Europe.,(0 of 5),(0 of 5),(3 of 5)
Solanaceae,Nicotiana,glauca,Tree Tobacco,,[],to,3,evergreen,,August to October,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Rocks, walls and roadsides in the Mediterranean[50].",S. America - S. Bolivia to N. Argentina. Naturalized in the Mediterranean.,(1 of 5),(2 of 5),(3 of 5)
Solanaceae,Nicotiana,rustica,"Wild Tobacco, Aztec tobacco",,[],1.5,,ANNUAL,,July to September.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"The original habitat is obscure. Plants are naturalized in Eastern N. America where they grow in waste places, open areas etc[192].",S. America - Ecuador to Bolivia.,(0 of 5),(2 of 5),(3 of 5)
Solanaceae,Nicotiana,tabacum,"Tobacco, Cultivated tobacco",,[],1.2,,ANNUAL,,July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known in a truly wild situation.,S. America. Naturalized in C. and S. Europe.,(2 of 5),(2 of 5),(3 of 5)
Solanaceae,Capsicum,annuum,"Sweet Pepper,  Cayenne Pepper, Chili Pepper, Christmas Pepper,  Red Pepper, Ornamental Chili  Pepper",medium,[1],to,1,evergreen,,July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known in the wild.,"Probably native of the Tropics, but the original habitat is obscure.",(4 of 5),(3 of 5),(2 of 5)
Solanaceae,Capsicum,baccatum,"Locoto,  	Aji",,[],2,1,PERENNIAL,,August to September.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known,S. America - Ecuador and the Andes,(3 of 5),(3 of 5),(1 of 5)
Solanaceae,Capsicum,frutescens,"Tabasco Pepper,  Cayenne pepper",,[],1,0.6,PERENNIAL,,August to September.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known in the wild.,"Probably native of the Tropics, but the original habitat is obscure.",(3 of 5),(4 of 5),(1 of 5)
Solanaceae,Capsicum,pubescens,"Tree Pepper, Rocoto",,[],3,2,PERENNIAL,,August to September.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known,S. America - Andes.,(3 of 5),(3 of 5),(1 of 5)
Solanaceae,Physalis,heterophylla,"Clammy Ground Cherry, Rowell's groundcherry",,[],0.9,1,PERENNIAL,,July to September.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Dry open woods[43]. Rich soils, especially where the surface has been disturbed[235].","N. America - New Brunswick to Saskatchewan, Florida, Colorado and Texas.",(3 of 5),(1 of 5),(0 of 5)
Solanaceae,Physalis,peruviana,"Goldenberry, Peruvian groundcherry",,"[1, 2]",1.2,,PERENNIAL,,July to October,August to November,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline",[' well-drained soil'],[],Coastal regions and disturbed areas from sea level to 4500 metres.,S. America - Peru. Naturalized in C. and S. Europe.,(5 of 5),(1 of 5),(0 of 5)
Solanaceae,Physalis,philadelphica,"Wild Tomatillo, Mexican groundcherry",,"[6, 7, 8, 9]",0.6,,ANNUAL,,July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Not known in a truly wild situation, it is found as a weed of cultivation.",N. America and S. America.,(4 of 5),(1 of 5),(0 of 5)
Solanaceae,Physalis,virginiana,Virginia Ground Cherry,,"[6, 7, 8, 9]",0.6,,PERENNIAL,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Dry sandy or rocky woods, openings and clearings[43]. Rich soils in open woods and prairies[170].","Eastern N. America - Ontario to Manitoba, Connecticut, Florida, Louisiana and Texas.",(2 of 5),(1 of 5),(0 of 5)
Solanaceae,Withania,somnifera,"Ashwagandha - Indian Ginseng, Withania",,"[1, 2]",to,0.5,evergreen,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Open places, disturbed areas etc[192]. An undershrub in stony places[238].","Mediterranean Europe, most of Africa, through W. Asia to Pakistan, India and Sri Lanka.",(1 of 5),(4 of 5),(2 of 5)
Solanaceae,Solanum,melongena,"Aubergine, Eggplant",,[],1,,PERENNIAL,May to October,July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known in the wild.,The origin of this plant is obscure.,(3 of 5),(2 of 5),(0 of 5)
Solanaceae,Solanum,aethiopicum,"Mock Tomato, Ethiopian nightshade",,"[1, 2]",2.5,,deciduous,,July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known,The original range is uncertain.,(3 of 5),(2 of 5),(2 of 5)
Solanaceae,Solanum,muricatum,Pepino,,[],to,1,evergreen,,August to October,September to November,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known,"S. America - Chile, Peru.",(4 of 5),(0 of 5),(0 of 5)
Solanaceae,Solanum,scabrum,Garden Huckleberry,,"[5, 6, 7, 8, 9]",0.6,0.3,ANNUAL,,July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known in the wild.,A form of S. nigrum derived in cultivation.,(3 of 5),(2 of 5),(0 of 5)
Solanaceae,Lycium,barbarum,"Goji, Box Thorn, Matrimony vine",medium,"[6, 7, 8, 9]",2.5,4,deciduous,,June to August,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],['maritime exposure'],"Hedges, on walls and waste ground[17].",Original habitat is obscure but probably S.E. Europe to S.W. Asia. Naturalized in Britain.,(4 of 5),(3 of 5),(3 of 5)
Solanaceae,Lycium,chinense,"Chinese Boxthorn, Chinese desert-thorn",medium,"[5, 6, 7, 8, 9]",2.5,2,deciduous,,June to August.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],['maritime exposure'],Thickets and river banks in lowland C. and S. Japan[58].,"E. Asia - China, Japan. Naturalized in Britain, especially by the sea.",(4 of 5),(3 of 5),(3 of 5)
Solanaceae,Lycium,pallidum,"Pale Wolfberry, Pale desert-thorn, Rabbit thorn",,"[5, 6, 7, 8, 9]",1.8,,deciduous,,May to August.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],['maritime exposure'],Dry plains and hills.,Central and Southern N. America.,(3 of 5),(2 of 5),(3 of 5)
Solanaceae,Lycium,ruthenicum,,,"[5, 6, 7, 8, 9]",2,,deciduous,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline","[' well-drained soil', 'dry or  moist soil']","['drought', 'maritime exposure']","Higher inner Himalayas, 1800 - 3900 metres[146]. Saline deserts and sands, roadsides at elevations of 400 - 3,000 metres in western China[266].",E. Asia - Himalayas.,(3 of 5),(2 of 5),(3 of 5)
Hamamelidaceae,Liquidambar,orientalis,Oriental Sweet Gum,slow,[],10,4,deciduous,,May,October to November,monoecious,"['light', 'medium', 'heavy']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],[],"Flood plains, marshy places and valley sides near streams to elevations of 1800 metres in Turkey[93].",W. Asia.,(2 of 5),(3 of 5),(2 of 5)
Hamamelidaceae,Liquidambar,styraciflua,"Sweet Gum, Red Gum, American Sweet Gum, Red Sweet Gum,",fast,"[5, 6, 7, 8, 9]",25,15,deciduous,,May,October to November,monoecious,"['light', 'medium', 'heavy']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],[],Swampy woods which are often inundated annually[43] and on rich bottom lands[82].,"Eastern N. America - Connecticut to Florida, west to Texas and Illinois.",(2 of 5),(3 of 5),(3 of 5)
Crassulaceae,Sedum,divergens,Pacific Stonecrop,,"[5, 6, 7, 8, 9]",to,,evergreen,,July to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Rocky slopes in mountains[172]. Alpine to sub-alpine rocky ledges, ridges and talus slopes[60].",Western N. America.,(1 of 5),(1 of 5),(0 of 5)
Crassulaceae,Sedum,reflexum,Crooked Yellow Stonecrop,,"[6, 7, 8, 9]",to,0.3,evergreen,,July to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']",neutral and basic (mildly alkaline),"[' well-drained soil. Suitable pH: neutral', 'dry or  moist soil']",['drought'],"Walls, shingle and warm grassy places on sandy soils[4, 9]. Avoids acid soils.",C. W. and S. Europe. Naturalized in Britain[17].,(1 of 5),(0 of 5),(2 of 5)
Grossulariaceae,Ribes,aureum,Golden Currant,,"[3, 4, 5, 6, 7, 8]",2.4,,deciduous,,April,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"By streams, in ravines and on mountain slopes[60, 62]. Rocky slopes and sandy bluffs[274].","Western N. America - Saskatchewan to Washington, south to California. Naturalized in C. Europe.",(4 of 5),(1 of 5),(0 of 5)
Grossulariaceae,Ribes,californicum,Hillside Gooseberry,,"[6, 7, 8, 9]",for,,deciduous,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Open slopes and rocky canyons below 750 metres in California[71].,South-western N. America.,(2 of 5),(0 of 5),(0 of 5)
Grossulariaceae,Ribes,cereum,Wax Currant,,"[4, 5, 6, 7, 8]",1.8,,deciduous,,April,September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Canyons, dry ravines, hillsides, prairies and open woodland[62].",Western N. America.,(2 of 5),(1 of 5),(0 of 5)
Grossulariaceae,Ribes,divaricatum,"Coastal Black Gooseberry, Spreading gooseberry, Parish's gooseberry, Straggly gooseberry",,"[4, 5, 6, 7, 8]",2.7,,deciduous,,April,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Open woods, prairies and moist hillsides[60].",Western N. America.,(4 of 5),(1 of 5),(2 of 5)
Grossulariaceae,Ribes,hirtellum,"Currant-Gooseberry, Hairystem gooseberry",,"[4, 5, 6, 7, 8]",1,,deciduous,,April.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Rocky or swampy woods and clearings[43].,"Northern N. America - Newfoundland to Manitoba, West Virginia and South Dakota.",(3 of 5),(0 of 5),(0 of 5)
Grossulariaceae,Ribes,inerme,"Whitestem Gooseberry, Klamath gooseberry",,"[5, 6, 7, 8, 9]",2,,deciduous,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Moist, often shaded places, 1000 - 3200 metres in California.","Western N. America - British Columbia to Montana, south to California.",(2 of 5),(0 of 5),(0 of 5)
Grossulariaceae,Ribes,laxiflorum,"White-Flowered Currant, Trailing black currant",,"[4, 5, 6, 7, 8]",0.3,,deciduous,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"A spreading or decumbent plant, clambering over logs and stumps in moist places in California[71].",Western N. America - British Columbia to California.,(2 of 5),(1 of 5),(0 of 5)
Grossulariaceae,Ribes,leptanthum,Trumpet Gooseberry,,"[5, 6, 7, 8, 9]",1,,deciduous,,May.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Streamsides, 1800 - 2800 metres in Arizona.",South-western N. America.,(2 of 5),(0 of 5),(0 of 5)
Grossulariaceae,Ribes,lobbii,Gummy Gooseberry,,"[6, 7, 8, 9]",1.8,,deciduous,,April to May.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Creek banks and lowland valleys to open or forested mountain slopes[60].,Western N. America - southern British Columbia to northern California.,(1 of 5),(1 of 5),(1 of 5)
Grossulariaceae,Ribes,missouriense,Missouri Gooseberry,,"[4, 5, 6, 7, 8]",2,,deciduous,,June.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Dry to moist open woods, thickets and fence rows[228].","Central N. America - Illinois to Minnesota, South Dakota, Kansas and Tennessee.",(3 of 5),(0 of 5),(0 of 5)
Grossulariaceae,Ribes,montigenum,Gooseberry-Currant,,"[5, 6, 7, 8, 9]",0.8,,deciduous,,June,July to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"By streams, in wet forests, ravines etc, in the sub-alpine zone[60].",Western N. America.,(3 of 5),(0 of 5),(0 of 5)
Grossulariaceae,Ribes,niveum,"Slender Branched Gooseberry, Snow currant",,"[5, 6, 7, 8, 9]",2.7,,deciduous,,April.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Thickets, usually by streams[60].",Western N. America.,(2 of 5),(0 of 5),(0 of 5)
Grossulariaceae,Ribes,pinetorum,Orange Gooseberry,,"[5, 6, 7, 8, 9]",for,,deciduous,,May.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Pinewoods[11].,"South-western N. America - Arizona, New Mexico.",(3 of 5),(0 of 5),(0 of 5)
Grossulariaceae,Ribes,roezlii,Sierra Gooseberry,,"[6, 7, 8, 9]",1.5,,deciduous,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Dry open slopes, 1000 - 2500 metres.",South-western N. America - California.,(2 of 5),(0 of 5),(0 of 5)
Grossulariaceae,Ribes,rotundifolium,Appalachian Gooseberry,,"[5, 6, 7, 8, 9]",1,,deciduous,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Open rocky places and thickets, ascending to the highest crests[43].",Eastern N. America - Massachusetts and New York to North Carolina.,(3 of 5),(1 of 5),(0 of 5)
Grossulariaceae,Ribes,nigrum,"Blackcurrant, European black currant",,"[4, 5, 6, 7, 8]",1.8,,deciduous,March to November,April to May,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Hedges and woodlands, often by streams[9, 17].","Europe, including Britain, from Scandanavia south and east to France, Bulgaria, N. and C. Asia.",(5 of 5),(3 of 5),(2 of 5)
Grossulariaceae,Ribes,rubrum,"Red Currant, Cultivated currant",,"[4, 5, 6, 7, 8]",1.2,,deciduous,,April to May,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Damp soils in hedges and woods, avoiding acid soils[7, 9, 17].","Western Europe, including Britain.",(4 of 5),(1 of 5),(2 of 5)
Grossulariaceae,Ribes,uva-crispa,"Gooseberry, European gooseberry",medium,"[4, 5, 6, 7, 8]",1.2,1,deciduous,,March to May,July to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Woods and hedges, often by streams[17].","Europe, including Britain, from Scandanavia south and east to N. Africa, Italy and the Caucasus.",(5 of 5),(1 of 5),(2 of 5)
Hamamelidaceae,Hamamelis,virginiana,"Witch Hazel, American witchhazel, Common Witchhazel, Virginian Witchhazel, Witchhazel",slow,"[3, 4, 5, 6, 7, 8]",5,5,deciduous,,September to November,August to September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Edges of dry or moist woods, in rich soil and on the rocky banks of streams[43, 82]. The best specimens are found in deep rich soils[229].",Eastern N. America - Nova Scotia to Wisconsin and south to Texas and N. Florida.,(1 of 5),(5 of 5),(2 of 5)
Vitaceae,Vitis,vinifera,"Grape, Wine grape, Purpleleaf Grape, Common Grape",fast,[],15,,deciduous,,May to July,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Riversides and damp woods[200]. Grows on the banks of the Thames at Kew in Britain[17].,Central and southern Europe; Northern Africa; Western Asia and the Caucasus.,(5 of 5),(2 of 5),(2 of 5)
Vitaceae,Vitis,labrusca,"Northern Fox Grape, Fox grape",fast,"[4, 5, 6, 7, 8, 9]",15,,deciduous,,May to July,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Wet or dry thickets and woodland borders[43].,Eastern N. America - Maine to S. Carolina and Tennessee. Locally naturalized in Europe[50].,(3 of 5),(1 of 5),(2 of 5)
Vitaceae,Vitis,riparia,Riverbank Grape,fast,"[2, 3, 4, 5, 6]",15,,deciduous,,May to July,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Riverbanks, bottomlands, rich thickets and woodland margins[43, 62].",Eastern and Central N. America. Locally naturalized in Europe[50].,(3 of 5),(0 of 5),(2 of 5)
Vitaceae,Vitis,aestivalis,"Summer Grape, Long grape",fast,"[3, 4, 5, 6, 7]",20,,deciduous,,June to July,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Dry woods and thickets[43]. Stream bottom woods, usually on sandy soils, in Texas[274].",Southern and Eastern N. America - Ontario to Alabama. Locally naturalized in Europe[50].,(3 of 5),(1 of 5),(1 of 5)
Vitaceae,Vitis,rotundifolia,"Muscadine Grape, Muscadine, Southern Fox Grape, Scuppernong, Muscadine Grape",fast,"[5, 6, 7, 8, 9]",25,,deciduous,,June to July,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Woods, thickets, sandhills and shores[43].","South-eastern N. America - Delaware to Indiana and Kansas, south to Florida, Texas and Mexico.",(4 of 5),(0 of 5),(1 of 5)
Vitaceae,Vitis,coignetiae,Crimson Glory Vine,fast,"[4, 5, 6, 7, 8]",20,20,deciduous,,June to July,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Grows into trees in forests[11].,"E. Asia - Japan, Korea.",(2 of 5),(0 of 5),(3 of 5)
Vitaceae,Vitis,amurensis,"Amur River Grape, Amur grape",medium,"[4, 5, 6, 7, 8]",15,,deciduous,,May to July,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Rich damp woodland soils[200].,E. Asia - C. and N. Korea.,(2 of 5),(1 of 5),(1 of 5)
Vitaceae,Vitis,vulpina,Frost Grape,,"[4, 5, 6, 7, 8]",25,,deciduous,,June to July,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Low woods, stream banks, bases of bluffs and thickets[228].","Central and Eastern N. America - New Brunswick to Manitoba, south to Maryland, Arkansas and Colorado",(3 of 5),(1 of 5),(2 of 5)
Vitaceae,Vitis,acerifolia,"Bush Grape, Mapleleaf grape",,"[5, 6, 7, 8, 9]",10,,deciduous,,June to July,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Ravines and sandy shores[43]. Stream bottoms and rocky slopes in Texas, usually scrambling over rocks and shrubs[274].",Southern N. America - Texas to Kansas and Colorado.,(2 of 5),(0 of 5),(1 of 5)
Vitaceae,Vitis,cinerea,Spanish Grape,,"[6, 7, 8, 9]",10,,deciduous,,June to July,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Woodlands[161]. Stream bottom woods[274].,"Southern N. America - Texas, New Mexico, Arkansas.",(3 of 5),(0 of 5),(1 of 5)
Vitaceae,Vitis,mustangensis,Mustang Grape,,"[4, 5, 6, 7, 8]",10,,deciduous,,June to July,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Rich damp woodland soils[200], often on limestone[11].",Southern N. America - Oklahoma and Arkansas to Texas.,(3 of 5),(0 of 5),(1 of 5)
Cucurbitaceae,Cucurbita,argyrosperma,Cushaw Pumpkin,,[],to,3,ANNUAL,,July to September,August to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known in the wild[135].,C. America? Origin is uncertain.,(4 of 5),(2 of 5),(1 of 5)
Cucurbitaceae,Cucurbita,ficifolia,"Malabar Gourd, Figleaf gourd",fast,[],a,,PERENNIAL,,July to September,August to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],Not known in the wild.,E. Asia? Original habitat is obscure.,(3 of 5),(2 of 5),(1 of 5)
Cucurbitaceae,Cucurbita,foetidissima,"Buffalo Gourd, Missouri gourd",fast,[],to,,PERENNIAL,,July to September,August to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],Dry or sandy soils from Mexico northwards to Missouri and Nebraska[43].,South-western N. America.,(3 of 5),(2 of 5),(2 of 5)
Cucurbitaceae,Cucurbita,maxima,Winter Squash,fast,[],to,5,ANNUAL,,July to September,August to October,monoecious,"['light', 'medium', 'heavy']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],[],Not known in the wild.,"Origin is obscure, possibly derived in cultivation from C. andreana.",(5 of 5),(3 of 5),(2 of 5)
Cucurbitaceae,Cucurbita,moschata,"Squash, Crookneck squash",fast,[],to,4,ANNUAL,,July to September,August to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known in the wild.,Origin is obscure.,(5 of 5),(3 of 5),(1 of 5)
