Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Foliage,Pollinators,Leaf,Flower,Ripen,Reproduction,Soils,pH,pH_split,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,PFAF
Lamiaceae or Labiatae,Mentha,x piperita,"Eau De Cologne Mint,  Eau de Cologne Mint, Peppermint",fast,"[3, 4, 5, 6, 7, 8, 9]",0.3,1.0,Perennial,,['Insects'],,August to October.,,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"A natural hybrid, M. aquatica x M. spicata found in moist soils on the sides of ditches, roadsides etc in S. England[5, 17].",Britain.,2,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Mentha+x piperita
Lamiaceae or Labiatae,Mentha,x villosa,"Apple Mint, Bowles' Mint",,"[4, 5, 6, 7, 8]",0.6,1.0,Perennial,,['Insects'],,August to September.,,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Roadsides and in ditches in the S. and W. of England[5, 17]. Probably a hybrid, M. spicata x M. suaveolens.","Central and southern Europe, including Britain, Mediterranean region, Azores..",4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Mentha+x villosa
Boraginaceae,Mertensia,maritima,Oyster Plant,,"[3, 4, 5, 6, 7]",0.2,0.2,Perennial,,['Insects? self'],,June to August,July to September,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Maritime exposure,Shingle by the sea. Uncommon and declining.,"Throughout the temperate regions of both hemispheres, including Britain.",3,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Mertensia+maritima
Rosaceae,Mespilus,germanica,Medlar,medium,"[5, 6, 7, 8]",6.0,6.0,Deciduous Tree,Deciduous,['Bees'],,May to June,November,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Woods and hedgerows[7, 17].",S.E. Europe to W. Asia. Occasionally naturalized in Britain.,4,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Mespilus+germanica
Rubiaceae,Mitchella,repens,Partridge Berry,slow,"[4, 5, 6, 7, 8, 9]",0.1,0.5,Evergreen Shrub,Evergreen,,,June to July.,,Hermaphrodite,"['light', 'medium']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil. suitable ph: mildly acid,,"Dry or moist knolls in woods, on sandy sub-strates.","N. America - Newfoundland to Florida, west to Texas and Minnesota.",3,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Mitchella+repens
Saxifragaceae,Mitella,diphylla,"Mitrewort, Twoleaf miterwort",,"[3, 4, 5, 6, 7]",0.4,,Evergreen Perennial,Evergreen,,,May to June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Rich woodlands, meadows and swamps[200, 235].","Eastern N. America - Quebec to Minnesota, North Carolina and Missouri.",0,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Mitella+diphylla
Lamiaceae or Labiatae,Monarda,didyma,"Bergamot, Scarlet beebalm, Horsemint, Oswego Tea, Bee  Balm",medium,"[4, 5, 6, 7, 8, 9, 10]",0.9,0.5,Perennial,,['Bees'],April to October,June to September,August to October,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Moist soils in rich woods, thickets and bottom lands.","Eastern N. America - New York to Michigan, south to Georgia and Tennessee.",3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Monarda+didyma
Lamiaceae or Labiatae,Monarda,fistulosa,"Wild Bergamot, Mintleaf bergamot, Wild Bee-Balm, Lupine",medium,"[4, 5, 6, 7, 8, 9, 10]",1.5,0.5,Perennial,,['Bees'],,July,August,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Dry thickets, clearings and woodland edges.","North-eastern N. America - Quebec to Minnesota, south to Texas.",3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Monarda+fistulosa
Moraceae,Morus,alba,"White Mulberry, Common Mulberry,",medium,"[4, 5, 6, 7, 8, 9, 10]",18.0,10.0,Deciduous Tree,Deciduous,,,May,July to August,Monoecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,Not known in a truly wild situation.,E. Asia - central and northern China.,4,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Morus+alba
Moraceae,Morus,nigra,Black Mulberry,slow,"[5, 6, 7, 8, 9, 10]",10.0,15.0,Deciduous Tree,Deciduous,,,May to June,August to September,Monoecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Atmospheric pollution,Original habitat is obscure.,W. Asia?,5,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Morus+nigra
Moraceae,Morus,rubra,"Red Mulberry, Common Mulberry, White Mulberry",,"[4, 5, 6, 7, 8, 9]",15.0,,Deciduous Tree,Deciduous,,,May,July to August,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich moist woods[43, 227]. Sunny places along the sides of roads. Plants do not grow well on poor soils.","Eastern N. America - Quebec to Florida, west to Texas and South Dakota.",3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Morus+rubra
Myricaceae,Myrica,cerifera,"Wax Myrtle - Bayberry Wild Cinnamon, Southern Bayberry, Wax Myrtle, Southern Wax Myrtle",fast,"[7, 8, 9, 10, 11]",9.0,3.0,Evergreen Shrub,Evergreen,['Wind'],,April to June,October,Monoecious,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,,"Thickets on sandy soil near swamps and marshes, also on dry arid hills in which situation it is often only a few centimetres tall.",South-eastern N. America. Possibly naturalized in S. England[50].,3,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Myrica+cerifera
Myricaceae,Myrica,gale,"Bog Myrtle, Sweetgale",,"[2, 3, 4, 5, 6, 7, 8, 9]",2.0,1.0,Deciduous Shrub,Deciduous,['Wind'],,March to May,August to September,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']",,,"Bogs, marshes, fens and wet heathland in acid soils but plants are occasionally found in calcareous fens[5, 17, 186].","Western Europe, including Britain, from Scandanavia to Portugal, east to N.W. Russia. N. America.",2,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Myrica+gale
Myricaceae,Myrica,pensylvanica,Northern Bayberry,,"[2, 3, 4, 5, 6, 7, 8, 9]",3.0,3.0,Deciduous Shrub,Deciduous,['Wind'],,April to May,October,Monoecious,"['light', 'medium', 'heavy']",Mildly acid and neutral soils and can grow in very acid and saline,"['Mildly acid', 'neutral', 'very acid', 'saline']",Well-drained soil. suitable ph: mildly acid,,"Dry or wet sterile soil near the coast. Coastal dunes, pine barrens, pine-oak forests, old fields, bogs, edges of streams, ponds, and swamps from sea level to 325 metres.",Eastern N. America. Possibly naturalized in Britain in the New Forest.,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Myrica+pensylvanica
Apiaceae or Umbelliferae,Myrrhis,odorata,"Sweet Cicely, Anise",,"[4, 5, 6, 7, 8]",1.0,1.0,Perennial,,"['Bees', 'Flies', 'Beetles']",,May to June,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Grassy places, hedges and woods in hilly regions, often near human habitations[4, 9, 17].","Mountainous regions of Europe, including Britain.",4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Myrrhis+odorata
Brassicaceae or Cruciferae,Nasturtium,officinale,Watercress,fast,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5,1.0,Perennial,,"['Bees', 'Flies']",,May to October,July to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Wet soil,,"Stream margins, ditches, flushes etc with moving water[17, 27], usually in chalk or limestone areas.","Europe, including Britain, from Sweden and Denmark south and east to N. Africa and W. Asia.",4,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Nasturtium+officinale
Onocleaceae,Onoclea,sensibilis,Sensitive Fern,fast,"[4, 5, 6, 7, 8]",0.5,0.5,Deciduous Fern,Deciduous,,,,June to October,,"['light', 'medium', 'heavy']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",,,"Open swamps, thickets, marshes, or low woods, in sunny or shaded locations, often forming thick stands from sea level to elevations of 1500 metres,",N. America - east of the Rockies to N.E. Asia.,2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Onoclea+sensibilis
Cactaceae,Opuntia,compressa,"Eastern Prickly Pear, Prickly Pear Cactus",fast,"[8, 9, 10]",0.2,1.0,Evergreen Perennial,Evergreen,['Insects'],,July to August.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Opn dry areas. Rocky bluffs, sand dunes, dry rocky or sandy grasslands.",North-eastern N. America. Naturalized on rocks and walls in S. and S.C. Europe.,3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Opuntia+compressa
Lamiaceae or Labiatae,Origanum,vulgare hirtum,Greek Oregano,,"[4, 5, 6, 7, 8]",0.6,0.6,Perennial,,"['Bees', 'Lepidoptera (moths & butterflies)']",,July to September,August to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,"Dry places in mountain regions in bushy places and on stony ground[50, 148].",S. Europe - Greece.,4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Origanum+vulgare hirtum
Apiaceae or Umbelliferae,Osmorhiza,claytonii,"Woolly Sweet-Cicely, Clayton's sweetroot",,"[5, 6, 7, 8, 9]",1.0,,Perennial,,['Insects'],,,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Woods and wooded slopes.,"Eastern N. America - Nova Scotia to South Dakota, North Carolina, Illinois, Nebraska and Kansas.",3,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Osmorhiza+claytonii
Apiaceae or Umbelliferae,Osmorhiza,longistylis,"Aniseroot, Longstyle sweetroot",,"[5, 6, 7, 8, 9]",1.2,,Perennial,,['Insects'],,June to July.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Rich, often alluvial woods and thickets. Woods, often along the sides of streams in Texas.","Eastern N. America - Nova Scotia to Ontario, Alabama, Tennessee, Kansas and Colorado.",3,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Osmorhiza+longistylis
Oxalidaceae,Oxalis,grandis,Great Yellow Woodsorrel,fast,"[5, 6, 7]",0.2,0.2,Annual/Perennial,,,,,,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Sandy woods, alluvial soils; 100–1100 m","Native to the eastern United States from Georgia north to Pennsylvania and Wisconsin, west as far as Louisiana.",2,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Oxalis+grandis
Oxalidaceae,Oxalis,montana,Mountain Wood Sorrel,,[],0.1,0.3,Perennial,,['Insects'],,,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Damp woods.,"Eastern N. America - S. Newfoundland and E. Quebec to Manitoba, south to Wisconsin and Minnesota.",2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Oxalis+montana
Oxalidaceae,Oxalis,oregana,Redwood Sorrel,,"[6, 7, 8, 9]",0.2,,Evergreen Perennial,Evergreen,['Insects'],,May to July.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Redwood forests. Moist woods.,Western N. America - Washington to California.,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Oxalis+oregana
Oxalidaceae,Oxalis,violacea,Violet Wood Sorrel,,"[4, 5, 6, 7, 8]",0.3,,Bulb,,['Insects'],,May to August,July to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Woods, shaded slopes, gravelly banks and prairies. Dry sandy or clay soils.","Eastern N. America - New York to Wisconsin, south to Florida.",3,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Oxalis+violacea
Polygonaceae,Oxyria,digyna,"Mountain Sorrel, Alpine mountainsorrel",,"[2, 3, 4, 5, 6, 7, 8]",0.5,0.3,Perennial,,['Wind'],,June to August,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Damp rocky places on mountains, especially by streams, avoiding acid soils. Locally common on enriched soils below bird roosts.","Mountains of the northern temperate zone, including Britain.",3,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Oxyria+digyna
Buxaceae,Pachysandra,procumbens,Allegheny spurge,slow,"[5, 6, 7, 8]",0.3,0.6,Perennial,,,,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil. suitable ph: mildly acid,,"Woodland with acid, well drained soils in shade or semi-shade.","Native to the southeast United States from West Virginia and Kentucky south to Florida, and west to Louisiana.",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Pachysandra+procumbens
Araliaceae,Panax,quinquefolius,American Ginseng,slow,"[3, 4, 5, 6, 7]",0.3,0.5,Perennial,,,,June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Rich cool woods.,"Eastern N. America - Maine to Georgia, west to Oklahoma and Minnesota.",1,3,0,https://pfaf.org/user/Plant.aspx?LatinName=Panax+quinquefolius
Araliaceae,Panax,trifolius,"Ground Nut, Dwarf ginseng",,"[3, 4, 5, 6, 7]",0.2,,Perennial,,,April to June,April.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Rich woods and damp clearings.,"Eastern N. America - Nova Scotia to Pennsylvania, west to Georgia, Indiana, Iowa and Minnesota.",1,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Panax+trifolius
Asteraceae or Compositae,Parthenium,integrifolium,Wild Quinine,,"[3, 4, 5, 6, 7]",1.0,,Perennial,,['Insects'],,July to August.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Prairies, rock outcrops and roadsides in arid and semi-arid environments.","Eastern N. America - Maryland to Minnesota and Georgia, as far west as Wisconsin and Arkansas.",0,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Parthenium+integrifolium
Passifloraceae,Passiflora,incarnata,"Maypops - Passion Flower, Purple passionflower, Apricot Vine, Maypop, Wild Passion Flower, Purple Pa",fast,"[7, 8, 9, 10, 11]",6.0,,Evergreen Climber,Evergreen,['Bees'],,June to July,September to November,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Sandy thickets and open soils. Fields, roadsides, fence rows and thickets.","Eastern N. America - Virginia and Kentucky, south to Florida and Texas.",3,3,0,https://pfaf.org/user/Plant.aspx?LatinName=Passiflora+incarnata
Apiaceae or Umbelliferae,Perideridia,gairdneri,"Yampa, Gardner's yampah, Common yampah",,[],1.2,,Perennial,,['Insects'],,April to May,May to July,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Woodland, dry and wet meadows and mountains.",Western N. America - Saskatchewan to California.,5,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Perideridia+gairdneri
Lauraceae,Persea,borbonia,"Red Bay, Sweetbay",medium,"[7, 8, 9, 10, 11]",15.0,,Evergreen Tree,Evergreen,,,April to May,September to October,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Sandy to rich moist soils of low woodlands, coastal forests, along the sides of bogs, streams and swamps. Sometimes found in dry sandy areas in Florida.","South-eastern N. America - Virginia to Florida, west to Texas.",1,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Persea+borbonia
Asteraceae or Compositae,Petasites,japonicus,"Sweet Coltsfoot, Japanese sweet coltsfoot, Butterbur",fast,"[5, 6, 7, 8, 9]",0.6,1.5,Perennial,,['Insects'],,February,March,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Moist woods and thickets.,"E. Asia - China, Japan, Korea. Naturalized in Britain.",3,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Petasites+japonicus
Fabaceae,Phaseolus,polystachios,Thicket Bean. Wild bean,fast,"[6, 7, 8, 9, 10]",3.0,0.2,Climber,,['Insects'],,,,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"A temperate plant.  It grows in dry woods and sandy thickets. Climbing on shrubs and young trees in moist thickets, clearings and edges of deciduous forests, in deep swamps and sometimes on dry sandy, dry shale and rocky hillsides[1555 ].","North America, Mesoamerica. Eastern and southern N. America - Iowa to Maine, south to Texas and Florida",2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Phaseolus+polystachios
Polemoniaceae,Phlox,divaricata,Wild blue phlox,medium,"[4, 5, 6, 7, 8, 9]",0.5,1.0,Evergreen Perennial,Evergreen,,,,,,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,Drought,"Indigenous to rich deciduous woodlands, open moist to slightly dry woods, seasonal floodplains, stream banks and open areas near woodland paths.","Eastern North America in Quebec and Ontario, south to Vermont and Florida and west to South Dakota and New Mexico.",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Phlox+divaricata
Polemoniaceae,Phlox,stolonifera,Creeping phlox,medium,"[4, 5, 6, 7, 8, 9]",0.3,0.5,Evergreen Perennial,Evergreen,,,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,Drought,"Indigenous to rich deciduous woodlands, stream banks, open woods and shaded rocky slopes mostly in the Appalachian Mountains.","Native to woodlands in the vicinity of the Appalachian Mountains from Pennsylvania south to northern Georgia in the United States. Naturalized populations occur as far north as Québec, Canada.",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Phlox+stolonifera
Polemoniaceae,Phlox,subulata,Moss phlox,fast,"[4, 5, 6, 7, 8, 9]",0.1,0.4,Evergreen Perennial,Evergreen,,,,,,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Well-drained soil,Drought,"Indigenous to rocky and sandy barrens, savannas, rocky ledges, slopes, clearings and disturbed sites.","Native to eastern and central USA, and widely cultivated. ",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Phlox+subulata
Poaceae or Gramineae,Phyllostachys,dulcis,Sweetshoot Bamboo,fast,"[7, 8, 9, 10]",7.0,,Evergreen Bamboo,Evergreen,['Wind'],,,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Not known,E. Asia - China.,4,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Phyllostachys+dulcis
Poaceae or Gramineae,Phyllostachys,nuda,,,"[7, 8, 9, 10]",5.0,,Evergreen Bamboo,Evergreen,['Wind'],,,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Mountains of Jiangsu, Zhejiang, Anhui and Hunan.",E. Asia - China.,4,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Phyllostachys+nuda
Solanaceae,Physalis,heterophylla,"Clammy Ground Cherry, Rowell's groundcherry",,"[7, 8, 9, 10]",0.9,1.0,Perennial,,['Insects'],,July to September.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Dry open woods. Rich soils, especially where the surface has been disturbed.","N. America - New Brunswick to Saskatchewan, Florida, Colorado and Texas.",3,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Physalis+heterophylla
Phytolaccaceae,Phytolacca,americana,"Pokeweed, American pokeweed, Garnet, Pigeon Berry, Poke",fast,"[4, 5, 6, 7, 8]",2.0,1.5,Perennial,,,,August to September,September to November,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Damp rich soils in clearings, woodland margins and roadsides. Disturbed areas, pastures, clearings, thickets, woodland borders and roadsides from sea level to 1400 metres.",Northern and Central N. America. Occasionally naturalized in Britain[17].,3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Phytolacca+americana
Apiaceae or Umbelliferae,Pimpinella,saxifraga,"Greater Burnet Saxifrage, Hollowstem burnet saxifrage",,"[4, 5, 6, 7, 8]",0.8,0.3,Perennial,,['Bees'],,June to July,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Hedge banks, woodland edges and other grassy places.","Europe, including Britain, from Scandanavia south and east to Portugal, the Balkans and Caucasus.",1,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Pimpinella+saxifraga
Pinaceae,Pinus,albicaulis,White-Bark Pine,slow,"[4, 5, 6, 7, 8]",20.0,,Evergreen Tree,Evergreen,['Wind'],,May to June,September,Monoecious,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,Drought,"Often found on rocky ridges and bluffs, it is reduced to a prostrate gnarled mat at the highest elevations and exposures, but the best specimens are found at lower elevations in sheltered canyons",Western N. America - British Columbia to California.,4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Pinus+albicaulis
Pinaceae,Pinus,armandii,"Chinese White Pine, Armand pine",medium,"[6, 7, 8, 9]",15.0,8.0,Evergreen Tree,Evergreen,['Wind'],,June,October,Monoecious,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,Drought,"Moderate to high elevations. Mountains, river basins; 1000-3300 m. S Gansu, C and NW Guizhou, Hainan, SW Henan, W Hubei, S Shaanxi, S Shanxi, Sichuan, C Taiwan, SE Xizang, Yunnan.","E. Asia - W. China, Korea, Formosa.",4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Pinus+armandii
Pinaceae,Pinus,cembra,"Swiss Stone Pine, Swiss Pine,  Arolla Pine",slow,"[3, 4, 5, 6, 7, 8, 9]",15.0,6.0,Evergreen Tree,Evergreen,['Wind'],,May to June,September,Monoecious,"['light', 'medium', 'heavy', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,Drought,"Rarely found below elevations of 1500 metres, it grows with larch up to the tree line[11, 81].","Europe - Alps, running north to Russia and Siberia.",4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Pinus+cembra
Pinaceae,Pinus,edulis,"Rocky Mountain Piñon, Twoneedle pinyon, Nut Pine, Pinyon Pine, Rocky Mountain Pinyon Pine, Singlelea",slow,"[5, 6, 7, 8]",15.0,,Evergreen Tree,Evergreen,['Wind'],,,October,Monoecious,"['light', 'medium']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil,Drought,Eastern foothills of the outer reaches of the Rockies on arid mesas in pure stands or with junipers.,South-western N. America - Rocky mountains.,4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Pinus+edulis
Pinaceae,Pinus,flexilis,"Limber Pine, Rocky Mountain White Pine",medium,"[4, 5, 6, 7]",25.0,,Evergreen Tree,Evergreen,['Wind'],,May to June,September to October,Monoecious,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,Drought,"Often forming open forests in the sub alpine to alpine zones, often in semi-arid areas[60, 82]. Usually found on dry rocky ridges and peaks.",Western N. America - Alberta to California.,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Pinus+flexilis
Pinaceae,Pinus,jeffreyi,Jeffrey Pine,medium,"[5, 6, 7, 8]",25.0,6.0,Evergreen Tree,Evergreen,['Wind'],,,January to February,Monoecious,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,Drought,"Usually found on dry and exposed slopes, 1800 - 2700 metres in California[71, 82]. Found on a variety of soils, but growing best in those that are deep and well-drained.",South-western N. America - Oregon to California.,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Pinus+jeffreyi
Pinaceae,Pinus,koraiensis,"Korean Nut Pine, Chinese pinenut",medium,"[4, 5, 6, 7]",20.0,,Evergreen Tree,Evergreen,['Wind'],,May,September,Monoecious,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,Drought,"Dry mountain slopes, especially those facing north, to 2600 metres[74, 120].","E. Asia - China, Korea, Manchuria, Siberia.",4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Pinus+koraiensis
Pinaceae,Pinus,pumila,Dwarf Siberian Pine,slow,"[3, 4, 5, 6, 7]",3.0,5.0,Evergreen Shrub,Evergreen,['Wind'],,,September,Monoecious,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,Drought,Often forms extensive thickets in exposed situations or above the tree line. Mountains at elevations of 1000 - 2300 metres in northern China.,"N.E. Asia - China, Japan, Korea, Mongolia and Siberia.",3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Pinus+pumila
Campanulaceae,Platycodon,grandiflorus,Balloon Flower,medium,"[4, 5, 6, 7, 8, 9]",0.5,0.4,Perennial,,,,July to August,August to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Grassy slopes in hills and mountains all over Japan.,"E. Asia - China, Japan, Korea, Manchuria.",2,3,0,https://pfaf.org/user/Plant.aspx?LatinName=Platycodon+grandiflorus
